case,status,effective_tmax,summary_tmax,source_tmax,gate_passed,artifact,claim_level,notes
CTH-like external VMEC nonlinear grid convergence,long_but_failed_convergence,150.00454711914062,150.00454711914062,,False,docs/_static/external_vmec_cth_like_grid_convergence_gate.json,negative_grid_convergence_result_not_transport_validation,"long nonlinear pilots exist, but grid/window convergence gate fails"
D-shaped tokamak external VMEC nonlinear high-grid convergence,long_but_failed_convergence,150.00454711914062,150.00454711914062,,False,docs/_static/external_vmec_dshape_high_grid_convergence_gate.json,negative_grid_convergence_result_not_transport_validation,"long nonlinear pilots exist, but grid/window convergence gate fails"
nfp4 QH external VMEC nonlinear grid convergence,long_but_failed_convergence,150.00454711914062,150.00454711914062,,False,docs/_static/external_vmec_qh_grid_convergence_gate.json,negative_grid_convergence_result_not_transport_validation,"long nonlinear pilots exist, but grid/window convergence gate fails"
nfp4 QH external VMEC nonlinear high-grid convergence,long_but_failed_convergence,150.00454711914062,150.00454711914062,,False,docs/_static/external_vmec_qh_high_grid_convergence_gate.json,negative_grid_convergence_result_not_transport_validation,"long nonlinear pilots exist, but grid/window convergence gate fails"
"CTH-like external VMEC, Nx=Ny=32, Nz=24, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_cth_like_nonlinear_t150_pilot.json,finite_long_nonlinear_feasibility_not_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"CTH-like external VMEC, Nx=Ny=48, Nz=32, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_cth_like_nonlinear_t150_n48_pilot.json,finite_higher_grid_nonlinear_feasibility_not_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"D-shaped tokamak external VMEC, Nx=Ny=32, Nz=24, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_dshape_nonlinear_t150_n32_pilot.json,finite_low_grid_long_nonlinear_feasibility_not_yet_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"D-shaped tokamak external VMEC, Nx=Ny=48, Nz=32, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_dshape_nonlinear_t150_n48_pilot.json,finite_mid_grid_long_nonlinear_feasibility_not_yet_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"D-shaped tokamak external VMEC, Nx=Ny=48, Nz=32, t=250",long_feasibility_pending_convergence,250.00604248046875,250.00604248046875,250.00604248046875,False,docs/_static/external_vmec_dshape_nonlinear_t250_n48_pilot.json,finite_mid_grid_long_nonlinear_feasibility_pending_high_grid_gate,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"D-shaped tokamak external VMEC, Nx=Ny=64, Nz=40, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_dshape_nonlinear_t150_n64_pilot.json,finite_high_grid_long_nonlinear_feasibility_not_yet_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
